system:index,actual_yield_baseline,county,elevation,et_mean,evi,gdd_total,latitude,longitude,ndvi,precip_total,soil,year,yield_value,.geo
0,6.4625959396362305,Trans Nzoia,1803.0,25.61739158630371,0.35090401768684387,1472.4818115234375,0.9643378920181832,34.87558947477503,0.5395837426185608,941.492431640625,1.0,2024,6.4625959396362305,"{""type"":""Point"",""coordinates"":[34.87558947477503,0.9643378920181832]}"
1,6.535181045532227,Trans Nzoia,1874.0,25.84782600402832,0.3547808527946472,1463.1514892578125,0.9440617728346814,35.235921275215,0.5625227093696594,1050.580810546875,1.0,2024,6.535181045532227,"{""type"":""Point"",""coordinates"":[35.235921275215,0.9440617728346814]}"
3,6.318985939025879,Trans Nzoia,2194.0,25.0,0.34763917326927185,1415.5245361328125,1.028808060877655,34.789425756318956,0.3923527002334595,954.0535278320312,1.0,2024,6.318985939025879,"{""type"":""Point"",""coordinates"":[34.789425756318956,1.028808060877655]}"
5,7.791998863220215,Trans Nzoia,1885.0,21.939130783081055,0.38135579228401184,1311.3265380859375,1.0496458302803007,35.00789213026798,0.6391533017158508,895.3138427734375,1.0,2024,7.791998863220215,"{""type"":""Point"",""coordinates"":[35.00789213026798,1.0496458302803007]}"
11,7.3904619216918945,Trans Nzoia,1862.0,26.439130783081055,0.33108726143836975,1372.1785888671875,1.1323409828074305,35.026790799741356,0.5209970474243164,862.4269409179688,1.0,2024,7.3904619216918945,"{""type"":""Point"",""coordinates"":[35.026790799741356,1.1323409828074305]}"
18,7.110733985900879,Trans Nzoia,1811.0,20.68260955810547,0.3405945301055908,1640.1566162109375,1.2332280805631506,34.867689426941936,0.4556175470352173,915.8572387695312,6.0,2024,7.110733985900879,"{""type"":""Point"",""coordinates"":[34.867689426941936,1.2332280805631506]}"
19,4.420913219451904,Trans Nzoia,2334.0,21.869565963745117,0.3870781660079956,1001.4498901367188,1.0113049071177003,35.35998904116635,0.5073205232620239,1072.848388671875,4.0,2024,4.420913219451904,"{""type"":""Point"",""coordinates"":[35.35998904116635,1.0113049071177003]}"
21,7.177041053771973,Trans Nzoia,1747.0,23.408695220947266,0.45031192898750305,1388.3951416015625,0.8913261085206473,34.9567694039984,0.6282374262809753,985.6636352539062,1.0,2024,7.177041053771973,"{""type"":""Point"",""coordinates"":[34.9567694039984,0.8913261085206473]}"
22,7.220799446105957,Trans Nzoia,1763.0,22.134782791137695,0.42031991481781006,1388.3951416015625,0.91016286206359,34.97868359526004,0.5720174908638,1042.5777587890625,1.0,2024,7.220799446105957,"{""type"":""Point"",""coordinates"":[34.97868359526004,0.91016286206359]}"
23,6.627943992614746,Trans Nzoia,2161.0,22.31304359436035,0.2554992735385895,1653.9757080078125,1.1744648915795564,34.77648413066807,0.4512782394886017,878.0504150390625,1.0,2024,6.627943992614746,"{""type"":""Point"",""coordinates"":[34.77648413066807,1.1744648915795564]}"
